path	sentence
clips\01989.mp3	家燕養大了也是別人的
clips\01990.mp3	爸，你在等姐回來嗎
clips\01991.mp3	妳大姐今天都不跟我吵架
clips\01992.mp3	如果吵了我還比較放心
clips\01993.mp3	要費多少精神，妳知道嗎
clips\01994.mp3	不聽父母的話，怎麼不怨
clips\01995.mp3	我試試看嘛
clips\01996.mp3	如果妳大姐嫁過去會吃苦
clips\01997.mp3	鴻展家連聘金都用借的
clips\01998.mp3	現在我想把聘金退還給他們
clips\01999.mp3	但姐都戴上戒指了
clips\02000.mp3	是啊，我也這麼想
clips\02001.mp3	再說退婚名聲不好聽
clips\02002.mp3	現在不知道該怎麼做才好
clips\02003.mp3	爸，你不要擔心
clips\02004.mp3	相信他一定會讓姐幸福
clips\02005.mp3	媽、哥，姐回來了
clips\02006.mp3	他不後悔借錢下聘
clips\02007.mp3	也不怨我們收了聘金
clips\02008.mp3	雙車，你聽聽
clips\02009.mp3	家燕說鴻展，你看真可取
clips\02010.mp3	如果家燕嫁給他絕對幸福
clips\02011.mp3	反倒是女兒怨我
clips\02012.mp3	沒有，你也幫幫忙，說什麼
clips\02013.mp3	沒說話先笑給你看
clips\02014.mp3	好，如果要擺臉色
clips\02015.mp3	連看都不看，毫不重視我
clips\02016.mp3	爸，你說收那些聘金要給我
clips\02017.mp3	當然是真的
clips\02018.mp3	怎麼，妳以為我隨口說說
clips\02019.mp3	那些錢收進自己口袋
clips\02020.mp3	我把那些聘金和嫁妝
clips\02021.mp3	聘金交給妳
clips\02022.mp3	那些嫁妝妳交給鴻展
clips\02023.mp3	才有點私房錢可以用，對不對
clips\02024.mp3	想創業才方便
clips\02025.mp3	只是幫他爸爸打理工廠
clips\02026.mp3	帳他妹妹管
clips\02027.mp3	頂多領個死薪水
clips\02028.mp3	不是錢彌補得了
clips\02029.mp3	妳嫁去他家一定更辛苦
clips\02030.mp3	他爸爸不必這麼重視那些聘金
clips\02031.mp3	以後妳才會後悔
clips\02032.mp3	爸，你不要生氣
clips\02033.mp3	我相信姐一定了解你的苦心
clips\02034.mp3	愛上了無藥可救
clips\02035.mp3	你沒有年輕過嗎
clips\02036.mp3	妳不必為了我生爸的氣
clips\02037.mp3	不知道他要鬧到什麼時候
clips\02038.mp3	我想我真的無法了解爸的苦心
clips\02039.mp3	我的婚事和腹中孩子
clips\02040.mp3	萬一傷到腹中孩子怎麼辦
clips\02041.mp3	姐，妳不要這樣想嘛
clips\02042.mp3	妳剛才說那些話他很著急
clips\02043.mp3	難道妳不能了解爸的心情嗎
clips\02044.mp3	那就如他的意
clips\02045.mp3	反正爸收了聘金
clips\02046.mp3	我當他賣女兒
clips\02047.mp3	他會很傷心
clips\02048.mp3	妳怎麼了 妳怎麼了
clips\02049.mp3	快，快打電話叫救護車
clips\02050.mp3	可能動到胎氣了
clips\02051.mp3	洪雙車真難應付
clips\02052.mp3	他凶巴巴拿扁擔把我們揈出去
clips\02053.mp3	一下子又叫我們不要走
clips\02054.mp3	當時說好不收聘金
clips\02055.mp3	說了大話又不算話
clips\02056.mp3	我們怎麼與他們結為親家
clips\02057.mp3	得跟你老婆伸手囉
clips\02058.mp3	你戴只戒指都戴不到底
clips\02059.mp3	妳不也一樣有個女兒嗎
clips\02060.mp3	將來看妳老公會不會聽妳的
clips\02061.mp3	我們現在先處理鴻展的事再說
clips\02062.mp3	惠如，妳去工廠巡視巡視
clips\02063.mp3	鴻展，媽教你這招
clips\02064.mp3	屆時你岳父一定會回頭拜託你
clips\02065.mp3	拜託你娶他女兒
clips\02066.mp3	老婆是你的、孩子也是你的
clips\02067.mp3	還有順便教訓雙車
clips\02068.mp3	要他別那麼囂張
clips\02069.mp3	妳這麼說有道理
clips\02070.mp3	如果這麼做家燕要站哪一邊
clips\02071.mp3	你這麼說也有理
clips\02072.mp3	辛苦家燕也辛苦我的孫子
clips\02073.mp3	三百多萬再賺就有了
clips\02074.mp3	三百多萬不是錢嗎
clips\02075.mp3	你爸如何跟五常借那些錢
clips\02076.mp3	受不了雙車吃定我
clips\02077.mp3	辛苦了家燕跟我的孫子
clips\02078.mp3	這也不對、那也不對
clips\02079.mp3	接下來該怎麼辦
clips\02080.mp3	這下子不是白忙一場了
clips\02081.mp3	束縛家燕的感情
clips\02082.mp3	伯父，拜託你讓我看家燕
clips\02083.mp3	如果你要看她直接來家裡
clips\02084.mp3	家燕流產你就不用來嗎
clips\02085.mp3	你要人家怎麼做
clips\02086.mp3	我要他有擔當
clips\02087.mp3	親自來告訴我
clips\02088.mp3	要家燕回來跟我吵架
clips\02089.mp3	不會傷到家燕腹中孩子
clips\02090.mp3	爸，家燕是我老婆
clips\02091.mp3	無論花多少錢，我都要娶她
clips\02092.mp3	爸說話反覆無常
clips\02093.mp3	我不知道該哭、該笑
clips\02094.mp3	謝謝爸、謝謝媽
clips\02095.mp3	還故意說些有的沒的
clips\02096.mp3	你為什麼叫鴻展來
clips\02097.mp3	心想順便叫他來
clips\02098.mp3	又不是紙糊的不能碰
clips\02099.mp3	不要用力就好了
clips\02100.mp3	對家燕現在是你的妻子了
clips\02101.mp3	我們就不用結婚了
clips\02102.mp3	我一定要緊牽著妳才對
clips\02103.mp3	看妳這樣我真的很心疼
clips\02104.mp3	我都要跟妳結婚
clips\02105.mp3	現在家燕跟孩子平安無事
clips\02106.mp3	明天我要當你的新娘
clips\02107.mp3	鴻展這孩子去那麼久了
clips\02108.mp3	究竟如何也該打個電話回來
clips\02109.mp3	也許鴻展被雙車釘得滿頭包
clips\02110.mp3	哀嚎給你聽嗎
clips\02111.mp3	媽，不要嚇爸
clips\02112.mp3	親家公怎麼可能對哥怎麼樣
clips\02113.mp3	如果真是家燕孩子流掉了
clips\02114.mp3	妳哥哭得忘了打電話回來
clips\02115.mp3	媽，別胡說了
clips\02116.mp3	妳越說爸越擔心
clips\02117.mp3	他會比我擔心嗎
clips\02118.mp3	這下如果家燕孩子真的流掉了
clips\02119.mp3	我們不就人財兩失嗎
clips\02120.mp3	如果這通電話打給鴻展
clips\02121.mp3	雙車一定會再找我們麻煩
clips\02122.mp3	我打電話過去問問
clips\02123.mp3	妳比較會吵架還是我
clips\02124.mp3	為什麼不行
clips\02125.mp3	如果這通電話是妳打，不是我
clips\02126.mp3	我還在跟他賭氣
clips\02127.mp3	打了比沒打還糟糕
clips\02128.mp3	你現在怎麼這麼會瞻前顧後
clips\02129.mp3	現在腦袋要想遠一點
clips\02130.mp3	身段要放低一點
clips\02131.mp3	喂，親家嗎
clips\02132.mp3	不然你是誰
clips\02133.mp3	我是雙車的鄰居
clips\02134.mp3	麻煩請他太太聽電話
clips\02135.mp3	不要，你跟他說就好
clips\02136.mp3	雙車他太太不在
clips\02137.mp3	還說彩雲不在
clips\02138.mp3	他的聲音我聽不出來嗎
clips\02139.mp3	聽說家燕肚子痛
clips\02140.mp3	現在不知道要不要緊
clips\02141.mp3	家燕有沒有怎麼樣與你們無關
clips\02142.mp3	只是想討聘金罷了
clips\02143.mp3	妳不是不在嗎
clips\02144.mp3	醫生幫家燕打過安胎針
clips\02145.mp3	我們都很關心家燕跟孩子
clips\02146.mp3	沒有，這是應該的
clips\02147.mp3	但是鄰居要跟你說話
clips\02148.mp3	拜託你告訴親家
clips\02149.mp3	我們會過去看家燕
clips\02150.mp3	要來就來啊
clips\02151.mp3	叫他留在那裡陪家燕
clips\02152.mp3	今晚不必回來了
clips\02153.mp3	你跟雙車一定很熟
clips\02154.mp3	跟我兒子鴻展也很熟吧
clips\02155.mp3	沒有，今天你兒子訂婚
clips\02156.mp3	我看你一直跟雙車討聘金
clips\02157.mp3	不然我們現在不說聘金的事
clips\02158.mp3	有空多來我們這裡坐坐
clips\02159.mp3	說我們可以去看家燕了
clips\02160.mp3	得等很久才能收一次錢
clips\02161.mp3	如果開一間肉品公司
clips\02162.mp3	自己養豬加工作成肉製品
clips\02163.mp3	一隻豬就有兩隻的利潤
clips\02164.mp3	還可以賣別人養的豬
clips\02165.mp3	爸這陣子都在操心家燕的婚事
clips\02166.mp3	要說等過陣子再說
clips\02167.mp3	等你想好都已經老了
clips\02168.mp3	好啦，我再找時間告訴爸爸
clips\02169.mp3	你開公司做生意
clips\02170.mp3	就不必在豬圈裡面養豬
clips\02171.mp3	妳說過支持我到台北開餐廳
clips\02172.mp3	但我又沒有答應讓你賣這塊地
clips\02173.mp3	舊豬圈這塊地閒置在這裡不用
clips\02174.mp3	這塊地是我嫁給你爸爸時
clips\02175.mp3	是爸給妳的訂情之物就對了
clips\02176.mp3	否則妳叫爸拿錢讓我開餐廳
clips\02177.mp3	留在這裡當廚師啊
clips\02178.mp3	米其林的三星主廚
clips\02179.mp3	我對你爸跟大家很難交代
clips\02180.mp3	否則我跟爸借錢
clips\02181.mp3	等你有本事的時候再開餐廳
clips\02182.mp3	是啊，要妳出面簽名
clips\02183.mp3	這塊地不可能讓你賣
clips\02184.mp3	喂，我找到一個車位
clips\02185.mp3	小姐，妳有事嗎
clips\02186.mp3	小姐，停車格是停車不是停人
clips\02187.mp3	我的車待會兒就來了
clips\02188.mp3	沒關係，資金的事
clips\02189.mp3	芳姿，這位是
clips\02190.mp3	不是，我家開飼料廠
clips\02191.mp3	就是路邊辦外燴的流水席嗎
clips\02192.mp3	如果有錢又有工夫不是更好
clips\02193.mp3	大家講話客氣一點好不好
clips\02194.mp3	我這個朋友打算開餐廳
clips\02195.mp3	能不能先讓我看營運計畫書
clips\02196.mp3	我們沒有你說的營運計畫書
clips\02197.mp3	何需什麼市場評估報告
clips\02198.mp3	如果你把開餐廳想得如此簡單
clips\02199.mp3	你開十間也倒十間
clips\02200.mp3	不好意思，我去打個電話
clips\02201.mp3	芳姿，我去看看他
clips\02202.mp3	家昌，不要生氣啦
clips\02203.mp3	都是媽不支持我
clips\02204.mp3	我也可以跟你一起籌措資金
clips\02205.mp3	我一定永遠支持你
clips\02206.mp3	惠如，我一定會做給妳看
clips\02207.mp3	芳姿跟她的高富帥朋友
clips\02208.mp3	所以就跟彼得去看電影
clips\02209.mp3	阿水，究竟怎麼回事
clips\02210.mp3	爸，是阿水先丟他鞭炮的
clips\02211.mp3	今天你們不給我一個交代
clips\02212.mp3	我們叫他出來有什麼不對
clips\02213.mp3	今天我們村子王爺公聖誕
clips\02214.mp3	好啊，有種你放放看
clips\02215.mp3	張議員，我代替爸爸向你道歉
clips\02216.mp3	剛才素帆已經向你道歉了
clips\02217.mp3	樹根兄，真是抱歉
clips\02218.mp3	改天我一定向你道歉
clips\02219.mp3	先讓大轎進廟，好嗎
clips\02220.mp3	好，我等你的消息
clips\02221.mp3	否則以後你們出來競選要選票
clips\02222.mp3	我們村子絕對不會支持你們
clips\02223.mp3	害我贊助的陣頭還有錢、面子
clips\02224.mp3	無緣無故帶你哥去那裡做什麼
clips\02225.mp3	是你叫我常帶哥出去見世面
clips\02226.mp3	見世面，拜託你
clips\02227.mp3	你哥最怕鞭炮聲，知道嗎
clips\02228.mp3	哥想看電音三太子啊
clips\02229.mp3	確實值得稱讚沒錯
clips\02230.mp3	如果你們因此得罪選民
clips\02231.mp3	以後參選就困難了
clips\02232.mp3	你怎麼跟他頂嘴呢
clips\02233.mp3	添財，我叫弟弟道歉
clips\02234.mp3	是是我想看三太子
clips\02235.mp3	添富去找我才和人吵架
clips\02236.mp3	添財，我沒有罵你弟弟
clips\02237.mp3	以後在外面不要和人拳腳相向
clips\02238.mp3	今天的事爸爸都看到了
clips\02239.mp3	再帶你去看電音三太子
clips\02240.mp3	看電音三太子練習的時候
clips\02241.mp3	我帶你去廟裡向人家道歉
clips\02242.mp3	他都沒吃，你們快來吃
clips\02243.mp3	這是你爸的茶杯，先拿去洗
clips\02244.mp3	又想替人出氣嗎
clips\02245.mp3	還把他當成寶貝疼愛
clips\02246.mp3	將來財產要傳給你這種人
clips\02247.mp3	麻煩你幫我跟對方說一聲
clips\02248.mp3	對不起，我會再想辦法
clips\02249.mp3	今天帶我兒子來向王爺道歉
clips\02250.mp3	誠心誠意表示道歉
clips\02251.mp3	樹根兄，這樣應該可以了吧
clips\02252.mp3	樹根，人家跟你說話
clips\02253.mp3	你們父子向王爺謝金牌
clips\02254.mp3	說話凶巴巴，做事情霸道
clips\02255.mp3	樹根，照你這麼說
clips\02256.mp3	結果你挖苦我就對了
clips\02257.mp3	結不結束你們父子好好商量
clips\02258.mp3	我漁船要出海捕魚很忙
clips\02259.mp3	樹根，你腳扭到還要出海嗎
clips\02260.mp3	但是這種天氣
clips\02261.mp3	漁船的貸款還沒繳清
clips\02262.mp3	如果捕到明晚就回來
clips\02263.mp3	為什麼眼皮一直跳
clips\02264.mp3	屆時你媽媽本人要來才算數
clips\02265.mp3	你放心，我會請她來補簽
clips\02266.mp3	不好意思，我接個電話
clips\02267.mp3	我我在外面辦事情
clips\02268.mp3	大嫂，辛苦了
clips\02269.mp3	你要洗的衣服丟到籃子了嗎
clips\02270.mp3	這是給家燕補身的
clips\02271.mp3	真是麻煩你了
clips\02272.mp3	不過再麻煩我們都應該來
clips\02273.mp3	妳怎麼這麼不小心傷到肚子呢
clips\02274.mp3	家燕回來幫你們要聘金
clips\02275.mp3	才會氣得動了胎氣
clips\02276.mp3	都不會為難家燕回來向你要啊
clips\02277.mp3	要聘金還需要你開口嗎
clips\02278.mp3	沒關係，我來問清楚
clips\02279.mp3	妳爸究竟要不要把聘金還我們
clips\02280.mp3	鴻展說過別再提要聘金的事了
clips\02281.mp3	鴻展，你被教得真乖耶
clips\02282.mp3	別說得跟真的一樣
clips\02283.mp3	不要搞到最後賣兒子才能結束
clips\02284.mp3	我們今天真是來關心家燕
clips\02285.mp3	不是找你們吵架
clips\02286.mp3	聘金一事照鴻展說的
clips\02287.mp3	是讓親家、親家母知道
clips\02288.mp3	我不會為了聘金讓兒媳為難
clips\02289.mp3	親家、親家母如此照顧女兒
clips\02290.mp3	我們也要好好疼愛媳婦
clips\02291.mp3	親家，不知道我這麼說對不對
clips\02292.mp3	爸，你們要一起當阿公了
clips\02293.mp3	一起當阿公、阿嬤
clips\02294.mp3	淑惠，親家他們來了
clips\02295.mp3	幸好我進來打掃房間
clips\02296.mp3	你知道家昌把家裡土地賣了嗎
clips\02297.mp3	家昌把舊豬圈那塊地賣了
clips\02298.mp3	而且跟人家簽約了
clips\02299.mp3	現在簽了約
clips\02300.mp3	代書可能在辦過戶了
clips\02301.mp3	如果不趕快阻止這件事
clips\02302.mp3	這塊地真會被家昌賣掉
clips\02303.mp3	你心太軟、那麼好說話
clips\02304.mp3	給我時間想想怎麼處理
clips\02305.mp3	鴻展跟家燕結婚的日子
clips\02306.mp3	我再請厲害點的師父
clips\02307.mp3	寫在紅帖上送來給你們
clips\02308.mp3	男方送聘金，女方附嫁妝
clips\02309.mp3	一分對一分，五厘對五厘
clips\02310.mp3	我們一切按照禮數
clips\02311.mp3	不像有些人說話不算話
clips\02312.mp3	現在不算話是說你自己嗎
clips\02313.mp3	你現在意思是繼續吵就對了
clips\02314.mp3	不是啦，我幫紅蝦說句話
clips\02315.mp3	你怕老婆就對了
clips\02316.mp3	別再吵架了
clips\02317.mp3	好吧，該說的我們都說了
clips\02318.mp3	家燕，養好身體
clips\02319.mp3	用那塊地開肉品公司
clips\02320.mp3	這塊地要被家昌賣掉了
clips\02321.mp3	開公司可以另外找土地
clips\02322.mp3	不然養豬也可以過日子
clips\02323.mp3	你說我們養豬、開肉品公司
clips\02324.mp3	我們要一步一步慢慢計畫
clips\02325.mp3	你連第一步都沒踏出去
clips\02326.mp3	今天你一定要跟爸開口
clips\02327.mp3	我們要用那塊地開肉品公司
clips\02328.mp3	不然把土地讓給家昌
clips\02329.mp3	算了，我來處理
clips\02330.mp3	來商量家燕的婚事
clips\02331.mp3	爸，這份契約你知道嗎
clips\02332.mp3	家昌把舊豬圈的地賣了
clips\02333.mp3	你怎麼可以把家裡土地賣了呢
clips\02334.mp3	開餐廳就可以賣家產嗎
clips\02335.mp3	彩雲，妳怎麼讓家昌賣土地呢
clips\02336.mp3	阿姨，那塊地登記妳的名字
clips\02337.mp3	妳不知道家昌要賣土地嗎
clips\02338.mp3	用代理人名義跟人家簽約
clips\02339.mp3	你沒把我的話聽進去
clips\02340.mp3	偷家產就是家賊
clips\02341.mp3	我想先把土地處理掉再說啊
clips\02342.mp3	媽，我是開餐廳做生意
clips\02343.mp3	不是揮霍的壞孩子
clips\02344.mp3	妳現在說我莽撞、不聽話
clips\02345.mp3	我不是壞孩子、敗家子
clips\02346.mp3	舊豬圈那塊地閒置很久了
clips\02347.mp3	創造土地的新價值也很好啊
clips\02348.mp3	阿姨，其實家昌說得很有道理
clips\02349.mp3	不過開餐廳是小生意
clips\02350.mp3	一塊賺十塊，十塊賺一百
clips\02351.mp3	應該賺更多才有價值
clips\02352.mp3	淑惠，土地的事讓爸作主
clips\02353.mp3	你仍不肯說，是嗎
clips\02354.mp3	爸，家龍打算用舊豬圈那塊地
clips\02355.mp3	蓋肉品工廠和開肉品公司
clips\02356.mp3	家龍，你要開公司嗎
clips\02357.mp3	爸問你，快說啊
clips\02358.mp3	大嫂，妳想開公司還是哥
clips\02359.mp3	家昌，不可以沒大沒小
clips\02360.mp3	大嫂說的話表示是你哥的意思
clips\02361.mp3	媽，為什麼哥可以開肉品公司
clips\02362.mp3	我不可以賣地開餐廳
clips\02363.mp3	家昌，聽阿姨的話啦
clips\02364.mp3	對啊，哥，聽媽的話嘛
clips\02365.mp3	你是否也應該尊重阿姨的話
clips\02366.mp3	好，要我不賣可以
clips\02367.mp3	讓我問哥一句話
clips\02368.mp3	開肉品公司真是你的意思嗎
clips\02369.mp3	如果真想蓋工廠、開公司
clips\02370.mp3	這塊地我讓給你
clips\02371.mp3	你大哥一向最寵你、最讓你
clips\02372.mp3	都被你問得啞口無言了
clips\02373.mp3	你們說個沒完，越說越大聲
clips\02374.mp3	家裡土地怎麼處理我說了算
clips\02375.mp3	你們一來一往，針鋒相對
clips\02376.mp3	淑惠，這件事到此為止
clips\02377.mp3	你說我計較
clips\02378.mp3	我這個老婆在家裡
clips\02379.mp3	除了洗衣煮飯
clips\02380.mp3	幫你養豬、整理家務
clips\02381.mp3	命運就像過浪的出帆
clips\02382.mp3	一山一嶺是否仍然無盡頭
clips\02383.mp3	剛才那種情況
clips\02384.mp3	維護家昌也不對
clips\02385.mp3	想在家裡餵豬你自己餵
clips\02386.mp3	女人的故事啊 整晚講不清
clips\02387.mp3	枕頭露水才知道他的心
clips\02388.mp3	風吹斷線不必埋怨
clips\02389.mp3	頭髮發白不必不好意思
clips\02390.mp3	他用一生等一天花開
clips\02391.mp3	緣分淺薄不必埋怨
clips\02392.mp3	時間不長不要浪費
clips\02393.mp3	他用一生等春風來吹
clips\02394.mp3	賣也不是、不賣也不是
clips\02395.mp3	家昌沒有本錢發展事業
clips\02396.mp3	屆時會跟家龍吵架
clips\02397.mp3	夫妻一吵架
clips\02398.mp3	我叫家昌不要賣地就好了
clips\02399.mp3	如果我再告訴你家昌的事
clips\02400.mp3	你不是一個頭兩個大了嗎
clips\02401.mp3	我現在一個頭三個大
clips\02402.mp3	我擔心家昌會埋怨妳
clips\02403.mp3	家龍不是妳親生
clips\02404.mp3	家昌會埋怨妳這個親生媽媽嗎
clips\02405.mp3	就算家昌埋怨我這個媽媽
clips\02406.mp3	我也不擔心失去家昌這個兒子
clips\02407.mp3	如果他埋怨我就不一樣了
clips\02408.mp3	心想家龍不是妳親生的嗎
clips\02409.mp3	當我這個阿姨如親生母親般
clips\02410.mp3	屆時如果妳嫁過去惹人厭
clips\02411.mp3	我我叫張添財
clips\02412.mp3	我要送妳蛋糕
clips\02413.mp3	你為什麼要送我蛋糕
clips\02414.mp3	因為很感謝昨天妳救我
clips\02415.mp3	我們現在在牽罟
clips\02416.mp3	牽罟的意思就是用船撒網
clips\02417.mp3	船在海上繞一圈回來
clips\02418.mp3	兩邊的人把網子拉回來
clips\02419.mp3	小魚會從縫中游走
clips\02420.mp3	大家才有魚可以吃
clips\02421.mp3	我幫妳拉繩子
clips\02422.mp3	網子拉上來，讓小魚游走
clips\02423.mp3	我可以再作一個給妳
clips\02424.mp3	我不知道蛋糕是你作的
clips\02425.mp3	沒關係，不然我們再拉繩子吧
clips\02426.mp3	妳爸傍晚就要回來了
clips\02427.mp3	去看妳爸捕魚回來嗎
clips\02428.mp3	我煮給你吃
clips\02429.mp3	這次捕的龍蝦可以賣十幾萬
clips\02430.mp3	我今天眼皮跳不是壞事
clips\02431.mp3	樹根的船燒掉了
clips\02432.mp3	我岳父在那裡生死不明
clips\02433.mp3	我去找那些漁工
clips\02434.mp3	老闆，你看我弟弟傷成這樣
clips\02435.mp3	大家都平安回來，沒事了
clips\02436.mp3	該負責我一定負責到底
clips\02437.mp3	就算我樹根要傾家蕩產
clips\02438.mp3	船不是有保險嗎
clips\02439.mp3	但是保最低的
clips\02440.mp3	以後沒有船出去捕魚了
clips\02441.mp3	還在繳船的貸款
clips\02442.mp3	好了，別再傷心了
clips\02443.mp3	待會兒要送新娘日過去
clips\02444.mp3	好待會兒馬上過去
clips\02445.mp3	別怕，我不會跟雙車吵架
clips\02446.mp3	我看妳本來對鴻展跟家燕婚事
clips\02447.mp3	送新娘日過去
clips\02448.mp3	三百六十萬才能趕快拿回來
clips\02449.mp3	趕快把婚事辦一辦才可以回本
clips\02450.mp3	妳大哥餵豬餵到現在還不休息
clips\02451.mp3	哥，對你很抱歉
clips\02452.mp3	也想賣家裡的地讓你開公司
clips\02453.mp3	是不是還對你大嫂不高興
clips\02454.mp3	養得這麼辛苦
clips\02455.mp3	你想開餐廳的事可以晚一點嗎
clips\02456.mp3	就得賠三倍訂金
clips\02457.mp3	而且介紹我到台北跟人家合作
clips\02458.mp3	哥，台北那間店的地點很好
clips\02459.mp3	如果不做真的很可惜
clips\02460.mp3	我絕對支持
clips\02461.mp3	知道自己造成大家困擾
clips\02462.mp3	我心想你怎麼餵豬餵那麼久
clips\02463.mp3	顧著說話肚子不餓嗎
clips\02464.mp3	大嫂，是我來找大哥的
clips\02465.mp3	大嫂，妳來得正好
clips\02466.mp3	有件事我想跟妳商量商量
clips\02467.mp3	讓我處理家裡土地
clips\02468.mp3	開餐廳做生意
clips\02469.mp3	以後大哥想開公司
clips\02470.mp3	我一定出錢幫忙
clips\02471.mp3	就不要吵個沒完
clips\02472.mp3	幫助你讀大學學餐飲
clips\02473.mp3	大嫂，你們栽培我念大學
clips\02474.mp3	但我是想開餐廳奮鬥事業
clips\02475.mp3	不是賣地拿錢去揮霍
clips\02476.mp3	家昌，跟你大嫂商量
clips\02477.mp3	好像所有事都是我的錯
clips\02478.mp3	不是存心鬧事是什麼
clips\02479.mp3	你竟然說我存心鬧事
clips\02480.mp3	哥，這是兩回事
clips\02481.mp3	每次都有謝謝她
clips\02482.mp3	但也不能因為打掃房間
clips\02483.mp3	說到底是我太多事
clips\02484.mp3	我的工作全讓給你做
clips\02485.mp3	大哥，我想扶大嫂起來
clips\02486.mp3	沒聽到，聾了嗎
clips\02487.mp3	我還沒說那塊地賣不賣
clips\02488.mp3	如果我開口說賣或不賣
clips\02489.mp3	才害你們兄弟吵架、打架
clips\02490.mp3	我們先吃飯好嗎
clips\02491.mp3	不要說什麼氣飽了
clips\02492.mp3	如果大人不吃會苦了孩子
clips\02493.mp3	大人不吃，難過的是這些孩子
clips\02494.mp3	讓你們操心
clips\02495.mp3	爸，我們去吃飯吧
clips\02496.mp3	爸，吃飯吧
clips\02497.mp3	雙車，不要生氣了
clips\02498.mp3	別氣得飯都吃不下
clips\02499.mp3	我心裡也很矛盾
clips\02500.mp3	我怕家龍跟家燕會不會計較
clips\02501.mp3	會不會把我當成外人
clips\02502.mp3	我一直把家龍跟家燕
clips\02503.mp3	當自己親生的
clips\02504.mp3	我每個星期都去面會
clips\02505.mp3	我很珍惜和他見面的時間
clips\02506.mp3	至於家芬和家昌
clips\02507.mp3	被我罵、打是家常便飯
clips\02508.mp3	不過家龍跟家燕
clips\02509.mp3	我不曾對他們口氣不好
clips\02510.mp3	他們叫一聲阿姨
clips\02511.mp3	我放在心裡你知道嗎
clips\02512.mp3	阿姨，妳不要這麼說
clips\02513.mp3	妳對這個家庭、對我爸爸
clips\02514.mp3	對我跟家燕兄弟姐妹的照顧
clips\02515.mp3	我們都感激在心裡
clips\02516.mp3	我們早就當妳是媽媽看待
clips\02517.mp3	我跟哥本來就沒有問題
clips\02518.mp3	家昌，你話要說清楚
clips\02519.mp3	你的意思是我的問題嗎
clips\02520.mp3	我現在有說妳怎麼樣嗎
clips\02521.mp3	你需要這麼大聲嗎
clips\02522.mp3	向你大嫂道歉
clips\02523.mp3	媽，妳不要這樣啦
clips\02524.mp3	大嫂，對不起啦
clips\02525.mp3	你現在是心甘情願道歉嗎
clips\02526.mp3	還是只為了安撫爸跟阿姨
clips\02527.mp3	大嫂，我都已經向妳道歉了
clips\02528.mp3	從小不管吃粥還是吃飯
clips\02529.mp3	我一口一口餵到這麼大
clips\02530.mp3	期望你們兄弟可以團結
